ao	clave_ent	edo	desocupa	edad0a14	edad15a24	edad25a34	edad35a44	edad45mas	pob_tot
2015	1	"Aguascalientes"	4.57763	392417	255649	211782	175356	296621	1.3e+06
2016	1	"Aguascalientes"	3.97331	393020	258733	217183	178187	308198	1.4e+06
2017	1	"Aguascalientes"	3.59915	391959	260495	222453	180840	320035	1.4e+06
2018	1	"Aguascalientes"	3.62628	390682	261963	227600	183553	331996	1.4e+06
2019	1	"Aguascalientes"	3.53218	389174	263225	232527	186443	344052	1.4e+06
2015	2	"Baja California"	4.12383	905346	616358	560622	486906	788562	3.4e+06
2016	2	"Baja California"	2.72523	903772	618612	569202	490840	820909	3.4e+06
2017	2	"Baja California"	2.86713	905516	622350	581802	497297	855907	3.5e+06
2018	2	"Baja California"	2.5738	906749	625314	594091	503879	891209	3.5e+06
2019	2	"Baja California"	2.5264	907437	627792	605793	510882	926657	3.6e+06
2015	3	"Baja California Sur"	5.02885	195039	129015	123499	107806	164487	719846
2016	3	"Baja California Sur"	4.60576	197471	130617	126350	110171	172386	736995
2017	3	"Baja California Sur"	4.2152	199711	132272	129372	112403	180512	754270
2018	3	"Baja California Sur"	3.72322	201854	133723	132328	114599	188790	771294
2019	3	"Baja California Sur"	4.05183	203886	135029	135193	116807	197204	788119
2015	4	"Campeche"	2.85649	256010	168400	153314	125511	213597	916832
2016	4	"Campeche"	3.60395	258039	169116	157206	127966	221109	933436
2017	4	"Campeche"	3.83683	260043	169628	161045	130794	228948	950458
2018	4	"Campeche"	3.16334	261953	170028	164642	133716	236980	967319
2019	4	"Campeche"	3.30388	263733	170412	167932	136774	245195	984046
2015	7	"Chiapas"	3.03881	1.8e+06	1.0e+06	816895	636011	1.0e+06	5.3e+06
2016	7	"Chiapas"	3.09832	1.8e+06	1.0e+06	835772	648275	1.1e+06	5.4e+06
2017	7	"Chiapas"	2.67773	1.8e+06	1.0e+06	853958	660858	1.1e+06	5.5e+06
2018	7	"Chiapas"	2.73259	1.8e+06	1.0e+06	871127	673705	1.2e+06	5.6e+06
2019	7	"Chiapas"	3.31998	1.8e+06	1.0e+06	886990	687077	1.2e+06	5.6e+06
2015	8	"Chihuahua"	3.81783	1.0e+06	652400	563958	497833	890078	3.6e+06
2016	8	"Chihuahua"	3.2012	1.0e+06	654063	570626	499019	918611	3.6e+06
2017	8	"Chihuahua"	2.74534	1.0e+06	656572	579250	501291	950102	3.7e+06
2018	8	"Chihuahua"	3.1239	996489	658723	587646	503678	981448	3.7e+06
2019	8	"Chihuahua"	3.01718	990089	660689	595580	506497	1.0e+06	3.8e+06
2015	9	"Ciudad de México"	5.44326	1.8e+06	1.5e+06	1.5e+06	1.4e+06	2.9e+06	9.1e+06
2016	9	"Ciudad de México"	5.07765	1.8e+06	1.4e+06	1.5e+06	1.4e+06	3.0e+06	9.1e+06
2017	9	"Ciudad de México"	4.61321	1.8e+06	1.4e+06	1.5e+06	1.4e+06	3.0e+06	9.0e+06
2018	9	"Ciudad de México"	4.48845	1.7e+06	1.4e+06	1.5e+06	1.4e+06	3.1e+06	9.0e+06
2019	9	"Ciudad de México"	5.07064	1.7e+06	1.4e+06	1.5e+06	1.4e+06	3.2e+06	9.0e+06
2015	5	"Coahuila de Zaragoza"	5.15049	848933	536143	462282	415185	738013	3.0e+06
2016	5	"Coahuila de Zaragoza"	4.42284	853674	539305	468609	418262	763212	3.0e+06
2017	5	"Coahuila de Zaragoza"	4.38858	858811	541898	476221	420727	790195	3.1e+06
2018	5	"Coahuila de Zaragoza"	4.13586	863698	544024	483924	423063	817308	3.1e+06
2019	5	"Coahuila de Zaragoza"	4.58603	868347	545839	491497	425563	844397	3.2e+06
2015	6	"Colima"	4.69051	194615	129689	119083	100410	177899	721696
2016	6	"Colima"	4.10027	196353	130374	121779	102174	183983	734663
2017	6	"Colima"	3.60366	197818	130773	124178	104108	190726	747603
2018	6	"Colima"	3.1969	199151	131140	126395	106063	197584	760333
2019	6	"Colima"	3.62812	200320	131535	128374	108081	204532	772842
2015	10	"Durango"	4.99891	529685	327572	270594	228735	424989	1.8e+06
2016	10	"Durango"	4.52308	529885	328488	275464	230855	437271	1.8e+06
2017	10	"Durango"	3.77076	527523	328889	280191	232663	450228	1.8e+06
2018	10	"Durango"	4.28176	524728	329240	284743	234514	463235	1.8e+06
2019	10	"Durango"	4.15124	521504	329684	288984	236555	476225	1.9e+06
2015	11	"Guanajuato"	4.7362	1.7e+06	1.1e+06	946643	781083	1.4e+06	5.9e+06
2016	11	"Guanajuato"	4.0158	1.7e+06	1.1e+06	964415	791737	1.4e+06	6.0e+06
2017	11	"Guanajuato"	3.45547	1.7e+06	1.1e+06	979347	801018	1.4e+06	6.1e+06
2018	11	"Guanajuato"	3.46668	1.7e+06	1.1e+06	992946	810194	1.5e+06	6.1e+06
2019	11	"Guanajuato"	3.75088	1.7e+06	1.1e+06	1.0e+06	819712	1.5e+06	6.2e+06
2015	12	"Guerrero"	2.10595	1.1e+06	673389	524139	423078	845655	3.6e+06
2016	12	"Guerrero"	2.04965	1.1e+06	671687	532559	426397	864787	3.6e+06
2017	12	"Guerrero"	1.66879	1.1e+06	670384	540589	429318	881459	3.6e+06
2018	12	"Guerrero"	1.27922	1.1e+06	668812	548126	432404	898142	3.6e+06
2019	12	"Guerrero"	1.54943	1.1e+06	667150	554975	435867	914790	3.6e+06
2015	13	"Hidalgo"	3.83007	818413	513924	442522	389128	735508	2.9e+06
2016	13	"Hidalgo"	3.14716	819361	515375	449921	394306	759793	2.9e+06
2017	13	"Hidalgo"	2.93417	820094	517645	457015	398788	783437	3.0e+06
2018	13	"Hidalgo"	2.78328	819971	520086	463657	403230	807314	3.0e+06
2019	13	"Hidalgo"	2.43841	819055	522747	469744	407841	831333	3.1e+06
2015	14	"Jalisco"	4.70546	2.2e+06	1.5e+06	1.3e+06	1.1e+06	1.9e+06	8.0e+06
2016	14	"Jalisco"	3.76147	2.2e+06	1.5e+06	1.3e+06	1.1e+06	2.0e+06	8.1e+06
2017	14	"Jalisco"	2.79319	2.2e+06	1.5e+06	1.3e+06	1.1e+06	2.0e+06	8.1e+06
2018	14	"Jalisco"	2.68654	2.2e+06	1.5e+06	1.3e+06	1.1e+06	2.1e+06	8.2e+06
2019	14	"Jalisco"	2.98485	2.2e+06	1.5e+06	1.4e+06	1.1e+06	2.2e+06	8.3e+06
2015	16	"Michoacán de Ocampo"	3.20123	1.4e+06	849068	712736	584093	1.1e+06	4.6e+06
2016	16	"Michoacán de Ocampo"	2.72166	1.4e+06	845733	723969	589594	1.2e+06	4.7e+06
2017	16	"Michoacán de Ocampo"	2.62267	1.4e+06	841788	733543	594970	1.2e+06	4.7e+06
2018	16	"Michoacán de Ocampo"	2.18214	1.4e+06	838144	741861	600529	1.2e+06	4.8e+06
2019	16	"Michoacán de Ocampo"	2.74676	1.4e+06	835181	748690	606563	1.2e+06	4.8e+06
2015	17	"Morelos"	3.36945	506649	345747	302059	258471	517579	1.9e+06
2016	17	"Morelos"	2.68408	506391	346188	307890	260822	533426	2.0e+06
2017	17	"Morelos"	2.05479	506837	345635	313569	263310	548595	2.0e+06
2018	17	"Morelos"	2.12848	507100	344823	318854	265965	563785	2.0e+06
2019	17	"Morelos"	2.38181	507167	343920	323592	268941	578948	2.0e+06
2015	15	"México"	5.51937	4.4e+06	3.0e+06	2.7e+06	2.4e+06	4.1e+06	1.7e+07
2016	15	"México"	5.2758	4.3e+06	3.0e+06	2.7e+06	2.4e+06	4.2e+06	1.7e+07
2017	15	"México"	4.09677	4.3e+06	3.0e+06	2.8e+06	2.4e+06	4.4e+06	1.7e+07
2018	15	"México"	4.15724	4.3e+06	3.0e+06	2.8e+06	2.4e+06	4.5e+06	1.7e+07
2019	15	"México"	4.47927	4.3e+06	3.0e+06	2.8e+06	2.5e+06	4.7e+06	1.7e+07
2015	18	"Nayarit"	5.45835	345941	213340	184171	157114	294916	1.2e+06
2016	18	"Nayarit"	4.12459	348784	214555	188254	159597	303437	1.2e+06
2017	18	"Nayarit"	3.4143	350713	215628	192374	162027	312974	1.2e+06
2018	18	"Nayarit"	4.01305	352215	216718	196266	164509	322655	1.3e+06
2019	18	"Nayarit"	3.92563	353264	217941	199843	167149	332449	1.3e+06
2015	19	"Nuevo León"	4.62514	1.4e+06	925318	848395	754646	1.3e+06	5.2e+06
2016	19	"Nuevo León"	4.19751	1.4e+06	935467	863231	762685	1.4e+06	5.3e+06
2017	19	"Nuevo León"	3.80301	1.4e+06	941922	878227	769788	1.4e+06	5.4e+06
2018	19	"Nuevo León"	3.53741	1.4e+06	947195	893180	776777	1.5e+06	5.5e+06
2019	19	"Nuevo León"	3.49585	1.4e+06	951720	907675	784108	1.5e+06	5.5e+06
2015	20	"Oaxaca"	2.96125	1.2e+06	727604	595447	499272	1.0e+06	4.0e+06
2016	20	"Oaxaca"	2.03528	1.2e+06	725387	604608	504331	1.0e+06	4.0e+06
2017	20	"Oaxaca"	2.2091	1.2e+06	724764	612408	508439	1.1e+06	4.1e+06
2018	20	"Oaxaca"	1.53906	1.2e+06	724391	619487	512562	1.1e+06	4.1e+06
2019	20	"Oaxaca"	1.78658	1.2e+06	724371	625725	516955	1.1e+06	4.1e+06
2015	21	"Puebla"	3.30168	1.9e+06	1.2e+06	977415	804556	1.5e+06	6.3e+06
2016	21	"Puebla"	3.01157	1.8e+06	1.2e+06	995294	815241	1.5e+06	6.3e+06
2017	21	"Puebla"	2.74846	1.8e+06	1.2e+06	1.0e+06	825093	1.5e+06	6.4e+06
2018	21	"Puebla"	2.58955	1.8e+06	1.2e+06	1.0e+06	834909	1.6e+06	6.5e+06
2019	21	"Puebla"	2.72055	1.8e+06	1.2e+06	1.0e+06	845132	1.6e+06	6.5e+06
2015	22	"Querétaro"	4.86035	580529	392132	349718	287243	459934	2.1e+06
2016	22	"Querétaro"	4.5349	584171	396093	359639	293907	479921	2.1e+06
2017	22	"Querétaro"	4.34185	586975	398347	368809	300693	501343	2.2e+06
2018	22	"Querétaro"	3.86105	589539	400133	377515	307500	523251	2.2e+06
2019	22	"Querétaro"	4.26421	591797	401667	385603	314465	545580	2.2e+06
2015	23	"Quintana Roo"	4.00709	424049	291582	281351	226927	300964	1.5e+06
2016	23	"Quintana Roo"	3.10827	428994	295440	289189	232994	318303	1.6e+06
2017	23	"Quintana Roo"	3.1546	433943	298951	297133	239355	335980	1.6e+06
2018	23	"Quintana Roo"	2.72152	438582	302013	304758	245766	354118	1.6e+06
2019	23	"Quintana Roo"	3.09008	442837	304810	311957	252307	372630	1.7e+06
2015	24	"San Luis Potosí"	2.87483	780918	507352	416060	355390	698519	2.8e+06
2016	24	"San Luis Potosí"	2.51484	775350	507516	422673	358505	717413	2.8e+06
2017	24	"San Luis Potosí"	2.30089	770418	507487	429332	361082	735373	2.8e+06
2018	24	"San Luis Potosí"	2.51609	765191	507150	435683	363727	753406	2.8e+06
2019	24	"San Luis Potosí"	2.60985	759742	506559	441573	366659	771426	2.8e+06
2015	25	"Sinaloa"	4.22466	814613	545815	462683	407431	785248	3.0e+06
2016	25	"Sinaloa"	3.81629	812332	547537	469649	410355	809510	3.0e+06
2017	25	"Sinaloa"	3.56971	806852	547971	476894	412389	833324	3.1e+06
2018	25	"Sinaloa"	3.26244	801074	547921	484017	414437	857161	3.1e+06
2019	25	"Sinaloa"	3.24402	795045	547569	490743	416777	880878	3.1e+06
2015	26	"Sonora"	4.95292	788136	516482	454074	399733	726329	2.9e+06
2016	26	"Sonora"	5.09661	787544	519453	461776	403856	750037	2.9e+06
2017	26	"Sonora"	3.72637	785627	521963	470103	408361	775756	3.0e+06
2018	26	"Sonora"	3.67543	783270	524102	478230	412829	801696	3.0e+06
2019	26	"Sonora"	4.35475	780527	526014	485982	417486	827743	3.0e+06
2015	27	"Tabasco"	6.71549	694899	441429	398603	334981	556357	2.4e+06
2016	27	"Tabasco"	7.59305	695987	440264	404701	340129	576292	2.5e+06
2017	27	"Tabasco"	7.09675	696537	439031	409612	345123	596629	2.5e+06
2018	27	"Tabasco"	7.24991	696616	438039	413895	350040	617336	2.5e+06
2019	27	"Tabasco"	7.08131	696185	437451	417443	354998	638295	2.5e+06
2015	28	"Tamaulipas"	4.7462	959030	604875	540788	493711	896315	3.5e+06
2016	28	"Tamaulipas"	4.67987	958249	604701	543244	495318	925592	3.5e+06
2017	28	"Tamaulipas"	4.11142	955278	605757	547040	496199	954994	3.6e+06
2018	28	"Tamaulipas"	3.90396	951633	606886	550793	496791	984383	3.6e+06
2019	28	"Tamaulipas"	3.37173	947379	608223	554335	497388	1.0e+06	3.6e+06
2015	29	"Tlaxcala"	4.82391	370098	241920	207970	174208	300998	1.3e+06
2016	29	"Tlaxcala"	4.15455	370080	243094	212134	177060	312047	1.3e+06
2017	29	"Tlaxcala"	3.68741	369663	243403	215851	179556	322899	1.3e+06
2018	29	"Tlaxcala"	3.57061	368993	243643	219318	182061	333917	1.3e+06
2019	29	"Tlaxcala"	3.9593	368084	243869	222457	184679	345058	1.4e+06
2015	30	"Veracruz de Ignacio de la Llave"	3.66514	2.2e+06	1.4e+06	1.2e+06	1.1e+06	2.2e+06	8.2e+06
2016	30	"Veracruz de Ignacio de la Llave"	3.5504	2.2e+06	1.4e+06	1.3e+06	1.1e+06	2.3e+06	8.3e+06
2017	30	"Veracruz de Ignacio de la Llave"	3.42172	2.2e+06	1.4e+06	1.3e+06	1.1e+06	2.4e+06	8.4e+06
2018	30	"Veracruz de Ignacio de la Llave"	3.164	2.2e+06	1.4e+06	1.3e+06	1.1e+06	2.4e+06	8.4e+06
2019	30	"Veracruz de Ignacio de la Llave"	2.94131	2.2e+06	1.4e+06	1.3e+06	1.1e+06	2.5e+06	8.5e+06
2015	31	"Yucatán"	2.56546	552226	391970	350467	293309	540830	2.1e+06
2016	31	"Yucatán"	2.01728	551023	392422	357397	298077	556964	2.2e+06
2017	31	"Yucatán"	2.08108	549121	391578	364168	302764	574624	2.2e+06
2018	31	"Yucatán"	1.77945	547181	390425	370432	307563	592635	2.2e+06
2019	31	"Yucatán"	1.86605	545188	389130	376006	312636	610906	2.2e+06
2015	32	"Zacatecas"	3.44568	476252	288128	240611	203934	392776	1.6e+06
2016	32	"Zacatecas"	2.98776	476538	287737	244033	205566	402801	1.6e+06
2017	32	"Zacatecas"	2.69644	476037	287225	246919	206776	412832	1.6e+06
2018	32	"Zacatecas"	2.94735	475128	286899	249508	207994	422859	1.6e+06
2019	32	"Zacatecas"	3.00232	473800	286862	251723	209355	432853	1.7e+06
